primary_place_of_performance_state_code,total_obligated_amount,fiscal_year
VA,159213229836.12,2016
CA,125599559852.11,2016
KY,88932738901.15999,2016
MD,63133930484.77,2016
TX,54877649809.53,2016
AL,42424050317.64,2016
FL,40391381695.61,2016
AZ,32886445418.21,2016
CO,31987900905.079998,2016
MA,20003608634.04,2016
DC,17956441965.829998,2016
GA,16742652316.92,2016
UT,15720962910.480001,2016
NJ,15607176336.15,2016
OK,14872460774.56,2016
MN,13616602696.390001,2016
MO,13114383915.19,2016
LA,12394762679.66,2016
NC,11277389310.31,2016
PA,11135382730.81,2016
WA,10363303310.39,2016
IL,9859000584.33,2016
OH,9510917590.73,2016
HI,9182797732.99,2016
NY,8952215100.96,2016
MS,8763499122.15,2016
SC,7858244851.16,2016
AK,7088525552.9800005,2016
IN,7059435002.34,2016
CT,6570075163.68,2016
NV,5318443076.04,2016
ME,4897043610.08,2016
MI,4818074179.41,2016
NM,4555634716.06,2016
TN,4339775605.36,2016
KS,3987278495.41,2016
NE,3857814287.6,2016
GU,3509713714.91,2016
OR,3139830615.69,2016
AR,2950379863.5099998,2016
RI,2673033047.28,2016
WI,1903982731.36,2016
NH,1726872094.93,2016
IA,1517631251.16,2016
PR,1223291667.98,2016
MT,687699756.78,2016
ND,648704849.32,2016
DE,574784312.4300001,2016
WV,572968635.48,2016
ID,559374982.59,2016
WY,463400381.96000004,2016
SD,270755939.85,2016
VT,201563867.51,2016
MH,130146558.86,2016
MP,45624504.519999996,2016
VI,14430970.57,2016
AS,9887462.19,2016
FM,3964928.9000000004,2016
PW,3845016.0500000003,2016
VA,156789495029.04,2017
CA,127167502653.68001,2017
KY,88667873200.70999,2017
MD,64175900403.4,2017
TX,57564796363.24,2017
AL,46377053896.98,2017
FL,39915007297.41,2017
AZ,33607553163.39,2017
CO,30821313114.23,2017
MA,20645469712.39,2017
DC,19145410918.13,2017
GA,16393512357.59,2017
UT,15912471946.16,2017
OK,15317847706.65,2017
NJ,14921388625.9,2017
MO,14399247514.76,2017
MN,13805303613.5,2017
PA,12719966038.91,2017
LA,10624898716.93,2017
NC,10373593049.85,2017
IL,10088094376.69,2017
WA,9985664869.710001,2017
HI,9795857827.69,2017
MS,9034464240.22,2017
NY,8532282654.42,2017
SC,8480623579.26,2017
OH,8276484334.09,2017
IN,7371055064.35,2017
AK,7017239606.440001,2017
CT,6704620654.0,2017
MI,5828892201.12,2017
NV,5143134055.62,2017
ME,5012515593.96,2017
NM,4594769594.39,2017
TN,4557740083.42,2017
KS,4090618692.35,2017
GU,3997776376.69,2017
NE,3826783948.44,2017
OR,3052908615.8500004,2017
AR,2905200563.36,2017
RI,2740432842.02,2017
PR,1821900007.73,2017
WI,1584543725.45,2017
IA,1522247585.71,2017
NH,1462650651.85,2017
MT,680135849.76,2017
ND,635209378.07,2017
DE,593160181.3,2017
WV,590923154.14,2017
ID,429190133.12,2017
WY,369230533.96,2017
SD,270472354.23,2017
VT,207948452.66,2017
MH,201223526.19,2017
PW,84812494.44,2017
VI,62522383.95000001,2017
MP,53015624.0,2017
AS,9165936.37,2017
FM,6359600.49,2017
VA,163223748241.42,2015
CA,105988261813.66,2015
MD,62205401713.63,2015
KY,55297258566.94,2015
TX,53149154735.94,2015
AL,38460736667.42,2015
FL,36192729373.77,2015
AZ,32834802187.17,2015
CO,31579134799.46,2015
NJ,21245212677.84,2015
DC,18876258650.55,2015
MA,18695082549.23,2015
UT,16872829240.57,2015
GA,16362149676.79,2015
MN,13721127704.18,2015
OK,12680350000.33,2015
MO,12558612974.23,2015
LA,12510678117.66,2015
NC,12257139592.2,2015
PA,11614612263.2,2015
WA,10351305248.05,2015
IL,9878170506.1,2015
OH,9699857988.539999,2015
MS,9415140215.43,2015
HI,9063800158.34,2015
NY,8952484507.37,2015
SC,8404660278.92,2015
CT,7851483280.28,2015
AK,7678869193.5,2015
IN,6650314625.690001,2015
ME,4831195949.25,2015
NV,4691981513.1,2015
KS,4677666104.81,2015
NM,4489929074.79,2015
TN,4392194677.87,2015
MI,4374718894.45,2015
NE,3585729712.58,2015
GU,3245566140.72,2015
OR,2974309546.2200003,2015
AR,2906085071.78,2015
RI,2441657205.71,2015
WI,2117089248.53,2015
NH,1678739051.91,2015
IA,1374307321.27,2015
PR,1178320535.01,2015
DE,739492450.62,2015
MT,734782393.58,2015
ND,636149090.34,2015
WV,620409436.3100001,2015
ID,453527178.89,2015
WY,351011211.40000004,2015
SD,241772175.92,2015
VT,171217712.87,2015
MH,67407685.43,2015
MP,27003885.9,2015
VI,11634738.059999999,2015
AS,7978614.03,2015
FM,2351521.09,2015
PW,1089519.01,2015
VA,162271246022.21,2014
CA,104434634962.56,2014
MD,60594716604.21,2014
KY,54945363309.81999,2014
TX,52847944413.95,2014
AL,38225461171.34,2014
FL,33557162188.39,2014
CO,32208213491.09,2014
AZ,32117886447.28,2014
NJ,20962849941.12,2014
MA,19370456839.56,2014
DC,18310939592.17,2014
GA,16973391109.59,2014
UT,16195932992.550001,2014
MN,13719091844.47,2014
OK,12660820192.710001,2014
LA,12274333350.34,2014
NC,12269095936.22,2014
MO,11982678966.92,2014
WA,11403136173.32,2014
PA,10801285962.89,2014
IL,9771823904.6,2014
NY,9555301885.08,2014
OH,9555190011.65,2014
MS,9504526409.8,2014
HI,9232693092.87,2014
CT,8336630547.76,2014
SC,7766047483.75,2014
AK,7758621686.75,2014
IN,6466738040.95,2014
ME,6068830518.589999,2014
KS,4800625225.690001,2014
NM,4663895862.309999,2014
TN,4562885267.53,2014
NV,4501841314.2,2014
MI,4470391260.19,2014
NE,3580647144.28,2014
GU,3161667726.44,2014
AR,2928930823.03,2014
OR,2908418973.2,2014
RI,2296133460.26,2014
WI,2121056674.35,2014
NH,1824636544.55,2014
IA,1497513613.55,2014
PR,1338836435.94,2014
ND,891632737.52,2014
WV,725598454.39,2014
MT,723410842.97,2014
DE,674804070.22,2014
ID,487393699.40999997,2014
WY,400946473.28000003,2014
SD,211638760.4,2014
VT,201431274.08,2014
MH,76501621.01,2014
VI,29201456.889999997,2014
MP,14212503.379999999,2014
AS,13984798.4,2014
FM,1293342.13,2014
PW,422533.0,2014
VA,163276331462.14,2013
CA,102217716049.38,2013
MD,58997156764.65,2013
KY,54725654956.13,2013
TX,53671496627.99,2013
AL,36250921305.86,2013
FL,34267272166.65,2013
CO,33065995210.92,2013
