product_or_service_code_description,total_obligated_amount,fiscal_year
MAINT/REPAIR/REBUILD OF EQUIPMENT- TRAINING AIDS AND DEVICES,16172471980.25,2016
MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,17274105755.54,2016
SYSTEMS ENGINEERING SERVICES,17856989743.88,2016
SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,30090006479.32,2016
IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,33993171430.91,2016
MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,36952914320.1,2016
SUPPORT- PROFESSIONAL: OTHER,46750026057.229996,2016
SUPPORT- MANAGEMENT: LOGISTICS SUPPORT,108902659327.26,2016
SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,115372855135.81,2016
MEDICAL- GENERAL HEALTH CARE,179068123489.9,2016
OTHER,479295633839.94006,2016
HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,14059381702.14,2017
MAINT/REPAIR/REBUILD OF EQUIPMENT- TRAINING AIDS AND DEVICES,16443448996.91,2017
MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,18258641361.26,2017
SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,29756861417.170002,2017
IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,30644431696.58,2017
MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,43590165240.55,2017
SUPPORT- PROFESSIONAL: OTHER,47879037896.58,2017
SUPPORT- MANAGEMENT: LOGISTICS SUPPORT,108957101389.06,2017
SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,123511552552.25,2017
MEDICAL- GENERAL HEALTH CARE,179910974676.99,2017
OTHER,479022295592.2001,2017
MAINT/REPAIR/REBUILD OF EQUIPMENT- TRAINING AIDS AND DEVICES,15274702037.5,2015
MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,16434866990.59,2015
SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,29744986363.18,2015
SYSTEMS ENGINEERING SERVICES,30136866366.89,2015
MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,33182856939.26,2015
IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,37166359395.32,2015
SUPPORT- PROFESSIONAL: OTHER,44277228944.47,2015
