recipient_name,count,fiscal_year
"TRADEBE TREATMENT AND RECYCLING, LLC",1070,2016
MLS-MULTINATIONAL LOGISTIC SERVICES LIMITED,1248,2016
CELLCO PARTNERSHIP,1299,2016
MISCELLANEOUS FOREIGN AWARDEES,1569,2016
"ADCI OF DELAWARE, LLC",1585,2016
QWEST GOVERNMENT SERVICES INC,1695,2016
SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,1855,2016
AT&T CORP.,3127,2016
LOCKHEED MARTIN CORPORATION,3371,2016
MCI COMMUNICATIONS SERVICES INCORPORATED,3466,2016
OTHER,259450,2016
"GENERAL DYNAMICS MISSION SYSTEMS, INC",1199,2017
MLS-MULTINATIONAL LOGISTIC SERVICES LIMITED,1234,2017
CELLCO PARTNERSHIP,1329,2017
MISCELLANEOUS FOREIGN AWARDEES,1406,2017
"ADCI OF DELAWARE, LLC",1581,2017
SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,1625,2017
QWEST GOVERNMENT SERVICES INC,2069,2017
LOCKHEED MARTIN CORPORATION,2744,2017
AT&T CORP.,3331,2017
MCI COMMUNICATIONS SERVICES INCORPORATED,3931,2017
OTHER,250896,2017
RAYTHEON COMPANY,1067,2015
A T AND T CORPORATION (4710),1092,2015
"CAPROCK GOVERNMENT SOLUTIONS, INC.",1175,2015
"ADCI OF DELAWARE, LLC",1351,2015
CELLCO PARTNERSHIP,1357,2015
AT&T CORP.,1869,2015
SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,2122,2015
MISCELLANEOUS FOREIGN AWARDEES,2208,2015
MCI COMMUNICATIONS SERVICES INCORPORATED,3076,2015
LOCKHEED MARTIN CORPORATION,3520,2015
OTHER,266289,2015
"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",1227,2014
CELLCO PARTNERSHIP,1342,2014
FSS ALUTIIQ JOINT VENTURE,1355,2014
A T AND T CORPORATION (4710),1369,2014
"CAPROCK GOVERNMENT SOLUTIONS, INC.",1482,2014
AT&T CORP.,1721,2014
SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,2504,2014
MCI COMMUNICATIONS SERVICES INCORPORATED,2604,2014
MISCELLANEOUS FOREIGN AWARDEES,2982,2014
